feedback_id,customer_id,restaurant_id,restaurant_name,feedback_text,rating,source,created_date,city,language,reviewer_name,state,review_title,visit_type,food_rating,delivery_rating,order_value,order_id,delivery_partner,delivery_time,survey_id,satisfaction_score,recommend_score,food_quality,service_quality,cleanliness,ticket_id,issue_category,priority,status,email_id,subject,request_id,feature_category,feature_title,staff_rating,ambience_rating,post_id,platform,username,engagement
FB100001,CUS0001,RES002,Biryanibox Guntur,"Fantastic delivery experience for our late-night biryani cravings! The rider located our residence in Guntur effortlessly without calling multiple times for directions. The tin containers retained heat exceptionally well, ensuring the biryani and starter were steaming fresh when opened. Prompt, professional, and reliable service that makes ordering online a total pleasure.",5.0,Google,2024-06-07,Guntur,Telugu,Deepthi Kulkarni,Andhra Pradesh,Piping Hot Late Night Order,Takeaway,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB100002,CUS0002,RES003,Biryanibox Hyderabad,"Impressed by the ultra-fast delivery service from BiryaniBox Hyderabad! The food arrived in just 22 minutes, well ahead of the estimated arrival time. The delivery partner was extremely polite, wore a clean uniform, and followed all drop-off instructions accurately. The packaging was piping hot and completely sealed with zero spillage. Seamless experience from app order placement to final delivery in Hyderabad.",4.0,Google,2024-06-18,Hyderabad,Hindi,Varun Roy,Telangana,Polite Rider Excellent Speed,Dine-In,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB100003,CUS0003,RES004,Biryanibox Visakhapatnam,"The staff at BiryaniBox Visakhapatnam was professional but seemed overwhelmed by the weekend crowd in Visakhapatnam. Service was somewhat formal and hurried, though our table requests were eventually fulfilled. Standard hospitality overall, but hiring additional servers during peak hours would help ease staff stress. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Visakhapatnam remain commendable across repeat visits. We look forward to ordering our next meal here soon.",3.0,Google,2024-05-19,Visakhapatnam,English,Harini Patel,Andhra Pradesh,Average Table Attendance,Delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB100004,CUS0004,RES005,Biryanibox Bengaluru,"Top marks for packaging! The food arrived piping hot thanks to the insulated container design used by BiryaniBox Bengaluru. Even during a long transit across Bengaluru, there was zero leakage of gravy or oil. Cutlery, napkins, and mouth fresheners were neatly tucked into a separate pocket inside the delivery bag. Thoughtful packaging that enhances the overall meal experience. ️",5.0,Google,2024-07-17,Bengaluru,Telugu,Manoj Gowda,Karnataka,Tamper Evident Tin Containers,Takeaway,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB100005,CUS0005,RES006,Biryanibox Chennai,"Inattentive and careless floor staff. Waiters ignored our table for 20 minutes while attending exclusively to larger bill groups. Cutlery was dropped noisily without an apology, and our feedback was dismissed casually. Worst customer service experience we have encountered in Chennai. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Chennai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2.0,Google,2024-03-29,Chennai,Hindi,Latha Narayanan,Tamil Nadu,Careless Service & Poor Attitude,Dine-In,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB100006,CUS0006,RES007,Biryanibox Pune,"Extremely poor value for money. The portion size delivered today was barely enough for one person despite paying for a 'Special Jumbo' pack. High prices combined with mediocre food quality make BiryaniBox Pune uncompetitive compared to other top biryani spots in Pune. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Pune remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2.0,Google,2024-01-28,Pune,English,Rajesh Subramanian,Maharashtra,Overpriced & Small Portions,Delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB100007,CUS0007,RES008,Biryanibox Mumbai,"The packaging quality from BiryaniBox Mumbai is top-class! They use sturdy, eco-friendly tin containers with tamper-evident seals that lock in the heat and aroma effectively. The salan and raita were sealed in thick spill-proof pouches, preventing any messy leaks inside the outer paper bag. Unboxing felt premium and hygienic. Very impressed with the attention to packaging detail in Mumbai.",5.0,Google,2024-03-25,Mumbai,Telugu,Sneha Reddy,Maharashtra,Eco Friendly & Fresh Unboxing,Takeaway,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB100008,CUS0008,RES001,Biryanibox Vijayawada,"Dine-in card payment machine at BiryaniBox Vijayawada was slightly slow to connect to the network, but the transaction was completed after a brief wait. Cashless billing handled adequately. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon.",3.0,Google,2024-01-06,Vijayawada,Hindi,Siddharth Naidu,Andhra Pradesh,Payment Succeeded Second Try,Dine-In,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB100009,CUS0009,RES002,Biryanibox Guntur,"Failed card transaction error on the POS machine at Guntur branch. The cashier charged my card twice asserting the first attempt failed, but both amounts were deducted from my account. Poor billing handling and unhelpful resolution from branch management. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Guntur remain commendable across repeat visits. We look forward to ordering our next meal here soon.",1.0,Google,2024-06-14,Guntur,English,Swathi Mehta,Andhra Pradesh,App Crashed During Checkout,Delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB100010,CUS0010,RES003,Biryanibox Hyderabad,"Top marks for packaging! The food arrived piping hot thanks to the insulated container design used by BiryaniBox Hyderabad. Even during a long transit across Hyderabad, there was zero leakage of gravy or oil. Cutlery, napkins, and mouth fresheners were neatly tucked into a separate pocket inside the delivery bag. Thoughtful packaging that enhances the overall meal experience.",4.0,Google,2024-05-04,Hyderabad,Telugu,Venkatesh Chowdary,Telangana,Tamper Evident Tin Containers,Takeaway,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB100011,CUS0011,RES004,Biryanibox Visakhapatnam,"STAFF CONDUCT WAS FAIR. THE WAITER TOOK OUR ORDER ACCURATELY, THOUGH GETTING WATER REFILLS REQUIRED MULTIPLE REMINDERS. RESPECTFUL BEHAVIOR OVERALL, BUT RESPONSIVENESS DURING RUSH HOURS COULD BE IMPROVED. FURTHERMORE, THE STAFF HYGIENE STANDARDS AND OVERALL BRAND CONSISTENCY AT BIRYANIBOX VISAKHAPATNAM REMAIN COMMENDABLE ACROSS REPEAT VISITS. WE LOOK FORWARD TO ORDERING OUR NEXT MEAL HERE SOON.",3.0,Google,2024-03-28,Visakhapatnam,Hindi,Srinivas Banerjee,Andhra Pradesh,Standard Staff Conduct,Dine-In,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB100012,CUS0012,RES005,Biryanibox Bengaluru,"Order placed during peak Sunday lunch hour was delivered in under 30 minutes by the BiryaniBox Bengaluru team. Real-time GPS tracking on the mobile app was pinpoint accurate. The driver handled the parcel with care, ensuring the salan pouches and raita cups remained intact without leaking. Kudos to the logistics team for managing rush hour so efficiently.",3.0,Google,2024-06-25,Bengaluru,English,Vikram Teja,Karnataka,Super Fast Express Delivery,Delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,
